id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
844	full length tau	-0.8942	0.247	4	286	438	27	2006.9259
845	functional decline	0.8323	-0.0132	2	177	226	14	2010.9286
846	funding	0.9851	0.0121	2	209	332	13	2011.3846
847	further development	-0.3187	-0.3239	1	134	146	13	2010.0769
848	further elucidation	0.1283	0.369	3	130	150	10	2004.9
849	further research	0.5422	-0.3915	2	201	256	14	2011.6429
850	future	0.2426	-0.2926	1	451	804	69	2008.4058
851	future clinical trial	0.8905	-0.0662	2	177	218	11	2011.6364
852	future decline	1.0733	0.024	2	167	330	11	2011.4545
853	future development	0.8486	-0.3487	2	218	345	17	2010.0588
854	future treatment	0.3	-0.3662	1	123	148	13	2007.5385
855	fyn	-0.7256	-0.0938	1	278	450	33	2010.9394
856	g protein	-0.5098	-0.1962	1	164	242	21	2006.5714
857	galantamine	0.011	-0.4013	1	238	399	25	2009.2
858	gallyas	-0.143	0.459	3	259	414	27	2001.7037
859	gamma secretase activity	-0.4147	-0.2742	1	182	242	21	2009.4286
860	gamma secretase complex	-0.5038	-0.2617	1	102	124	11	2011.1818
861	gel	-0.8559	0.4514	4	278	529	29	1997.2069
862	gel electrophoresis	-0.7655	0.4005	4	347	565	37	2004.5405
863	gender	1.1062	0.1687	2	588	1580	85	2009.8941
864	gene mutation	0.0474	0.311	3	393	704	60	2007.65
865	gene transcription	-0.5983	-0.2235	1	128	153	11	2008.1818
866	general population	0.3776	-0.2504	2	159	201	12	2007.4167
867	genetic analysis	0.4319	0.4404	3	268	369	26	2006.1154
868	genetic association	0.9836	0.4533	2	173	321	20	2007.6
869	genetic background	0.2452	0.3169	3	194	259	19	2007.7895
870	genetic cause	0.4193	0.3158	3	135	169	17	2007.6471
871	genetic marker	1.0072	0.3809	2	164	257	16	2007.5
872	genetic risk	0.9237	0.3333	2	247	352	19	2008.3158
873	genetic risk factor	0.8109	0.3765	2	439	836	65	2009.7692
874	genetic testing	0.5623	0.4112	3	134	158	10	2009.6
875	genetic variant	0.8155	0.452	2	314	534	31	2010.9032
876	genetic variation	0.7879	0.481	2	274	459	28	2010.1786
877	genome	0.0713	-0.2728	1	215	317	24	2008.9167
878	genome wide association study	0.8147	0.4412	2	260	494	28	2012.5714
879	genotype	0.7666	0.3374	2	853	2641	153	2007.5163
880	ghost tangle	-0.3052	0.4422	3	191	306	20	2001.35
881	glcnac	-0.9417	-0.1366	4	107	163	14	2010.6429
882	glcnacylation	-0.9431	-0.1374	4	91	136	10	2009.3
883	glia	-0.259	0.3036	3	422	614	42	2005.5714
884	glial activation	-0.332	-0.3841	1	238	325	26	2010.3077
885	glial cell	-0.3101	0.2428	3	623	1319	88	2004.6818
886	glial cytoplasmic inclusion	-0.0822	0.5161	3	128	186	11	2003.9091
887	glial inclusion	-0.0327	0.524	3	248	401	19	2004.8947
888	globus pallidus	0.1026	0.4877	3	135	182	11	2003.5455
889	glp	-0.451	-0.5845	1	148	306	18	2012.6667
890	glu	-0.9513	0.1951	4	126	172	11	2004.8182
891	glucagon	-0.4477	-0.5849	1	149	290	16	2012.875
892	glutamate	-0.3711	-0.2265	1	360	525	38	2007.1053
893	glutamate receptor	-0.5341	-0.2684	1	216	296	22	2010.3636
894	glycation	-0.8272	0.1344	4	235	417	34	2004.5882
895	glycation end product	-0.2788	-0.2845	1	284	466	40	2007.7
896	glycogen synthase kinase	-0.8556	-0.3815	1	892	3055	201	2006.607
897	glycogen synthase kinase 3beta	-0.7904	-0.377	1	847	2608	166	2008.988
898	glycosaminoglycan	-0.5381	0.3781	4	147	196	18	2000
899	glycosylation	-0.8637	0.1262	4	236	374	28	2006.2857
900	grain	0.0368	0.5533	3	179	297	17	2002.5882
901	granule	-0.4388	0.3096	3	409	770	52	2004.1154
902	granulovacuolar degeneration	-0.4341	0.3171	3	255	476	31	2003.1935
903	greater extent	-0.2888	0.5418	3	129	144	10	2002.5
904	grey matter	0.7351	0.231	2	253	377	22	2006.5455
905	grn	0.4783	0.4983	3	214	404	22	2012.2273
906	group	0.5577	-0.0256	2	1861	12945	796	2008.4925
907	group difference	1.102	-0.4287	2	177	287	14	2011.5714
908	gsk	-0.9517	-0.3327	1	741	2489	158	2005.8861
909	gsk 3beta	-0.8221	-0.3914	1	776	2266	146	2009.1849
910	gsk 3beta activity	-0.7795	-0.5102	1	180	317	18	2009.8333
911	gsk3	-0.8201	-0.4163	1	288	506	39	2007.8718
912	gsk3b	0.2165	-0.2615	1	173	240	13	2010.3846
913	gsk3beta	-0.7367	-0.3865	1	670	1680	111	2010.3243
914	gsk3beta activity	-0.7323	-0.4091	1	213	346	24	2009.9583
915	guam	-0.1239	0.5196	3	205	329	25	2001.72
916	guideline	0.8168	-0.1735	2	274	469	27	2010.6296
917	gvd	-0.4385	0.3173	3	177	280	16	2005.1875
918	gwas	0.9305	0.4412	2	135	227	13	2013.3077
919	h1 haplotype	0.6737	0.5618	3	162	299	17	2007.7059
920	h2o2	-0.721	-0.3526	1	128	166	10	2009.4
921	haplotype	0.703	0.5476	3	343	841	53	2007.0377
922	hazard ratio	1.4213	0.0114	2	250	531	21	2011.619
923	healthy aging	1.2719	0.0163	2	161	204	10	2010.9
924	healthy control	1.1945	-0.0726	2	763	2886	158	2009.8671
925	healthy control subject	1.2833	0.1504	2	177	289	15	2008.2
926	healthy elderly control	1.0663	0.0434	2	167	260	12	2011.25
927	healthy individual	1.0525	-0.2583	2	310	514	29	2009.5517
928	healthy older adult	1.4167	0.0885	2	150	231	10	2012
929	healthy subject	1.1583	-0.2847	2	294	504	29	2010.8621
930	heat	-0.9103	0.2908	4	210	320	17	1999.5882
931	heat shock	-0.7115	-0.0105	4	120	176	14	2003.7143
932	heat shock protein	-0.7059	-0.0153	4	195	274	26	2010
933	helical filament	-0.7921	0.4056	4	1331	8828	616	1998.9188
934	helical filament formation	-0.8171	0.3538	4	156	196	16	1999.9375
935	helical filament tau	-0.5631	0.445	4	326	531	40	2001.3
936	help	0.7215	-0.1753	2	271	406	25	2007.52
937	heme oxygenase	-0.598	-0.1728	1	117	149	12	2006.75
938	heparan sulfate proteoglycan	-0.553	0.3017	4	140	192	16	2002
939	heparin	-0.9416	0.2684	4	304	672	41	2006.0732
940	heterogeneous group	0.447	0.5313	3	177	231	13	2006.8462
941	high affinity	-0.3276	0.0591	4	220	326	25	2008.08
942	high csf tau	1.4665	-0.1094	2	148	228	11	2008.2727
943	high density	-0.0976	0.3752	3	201	245	18	2004.4444
944	high diagnostic accuracy	1.2078	-0.3056	2	187	296	14	2010.9286
945	high fat diet	-0.4179	-0.5606	1	210	344	24	2012.4583
946	high molecular weight	-0.8297	0.3995	4	123	146	11	2002.5455
947	high risk	0.7496	-0.3086	2	350	568	29	2010.1034
948	high sensitivity	1.049	-0.3334	2	292	550	28	2008.6071
949	high specificity	1.1055	-0.2668	2	135	194	11	2010.1818
950	higher frequency	0.3749	0.5094	3	158	193	12	2005.9167
951	higher risk	0.6003	-0.2441	2	289	439	27	2009.7407
952	higher tau	1.4349	0.0597	2	160	251	10	2010.3
953	hippocampal atrophy	1.2081	0.1493	2	434	1026	53	2011.8302
954	hippocampal dentate gyrus	-0.4199	-0.1004	1	117	139	11	2009.7273
955	hippocampal neuron	-0.5571	-0.011	1	645	1325	105	2007.4381
956	hippocampal pyramidal neuron	-0.4345	0.3016	3	135	185	12	2001.9167
957	hippocampal sclerosis	0.4189	0.4791	3	170	260	16	2008.9375
958	hippocampal section	-0.2579	0.3661	3	162	198	16	2006.375
959	hippocampal slice	-0.5872	-0.2861	1	250	365	28	2010
960	hippocampal volume	1.4392	0.0155	2	423	1329	56	2012.3929
961	hirano body	-0.4331	0.3258	3	156	227	17	2001.5882
962	histone deacetylase	-0.6224	-0.1906	1	88	113	12	2012.0833
963	hiv	0.7805	0.0589	2	147	189	12	2009
964	hne	-0.5525	-0.209	1	149	199	16	2008
965	homogenate	-0.5728	0.2313	4	383	626	42	2003.6429
966	homozygote	0.8484	0.3686	2	187	260	16	2005
967	hope	0.0015	-0.3308	1	307	437	36	2008.8611
968	hsp	-0.7039	-0.0191	4	135	178	14	2010.3571
969	hsp70	-0.7054	-0.0179	4	96	131	12	2011.3333
970	hsp90	-0.7012	-0.0219	4	85	114	10	2012.3
971	htau40	-0.9579	0.22	4	184	279	18	2005.3889
972	human amyloid precursor protein	-0.4543	-0.3243	1	285	399	38	2009.3684
973	human app	-0.452	-0.3167	1	183	253	25	2008.12
974	human cerebrospinal fluid	0.9116	-0.3924	2	253	426	27	2007.4815
975	human clinical trial	0.0696	-0.3548	1	88	107	11	2010.7273
976	human hippocampus	-0.3833	0.3032	3	110	129	13	2010.6154
977	human neuroblastoma cell	-0.8497	-0.0685	1	326	572	38	2004.6316
978	human neuron	-0.4885	-0.1253	1	192	270	20	2006.35
979	human tau	-0.7677	0.1433	4	800	2290	171	2006.5263
980	human tau protein	-0.877	0.3025	4	260	398	28	2000.7857
981	huntingtin	-0.4067	0.1222	3	117	148	15	2009.5333
982	huntington disease	-0.4045	0.1244	3	118	145	12	2007.5
983	hybridization	-0.488	0.0874	1	181	235	21	2005.0476
984	hydrogen peroxide	-0.6827	-0.3503	1	145	194	17	2009.4706
985	hydroxy	-0.5514	-0.2064	1	119	149	13	2008.3846
986	hyper phosphorylation	-0.6045	-0.4005	1	220	278	24	2011
987	hyperactivation	-0.54	-0.4888	1	187	241	15	2010.2667
988	hyperactivity	-0.4593	-0.4483	1	194	250	21	2012.1429
989	hyperglycemia	-0.4469	-0.5656	1	189	270	16	2010.75
990	hyperinsulinemia	-0.4307	-0.5758	1	139	233	16	2011.375
991	hyperphosphorylated	-0.8541	-0.0146	4	238	350	26	2005.1154
992	hyperphosphorylated form	-0.9671	0.0475	4	246	405	30	2007.7
993	hyperphosphorylated microtubule	-0.3535	0.4899	3	316	504	35	2004.8286
994	hyperphosphorylated state	-0.9814	0.3206	4	212	334	18	2001.0556
995	hyperphosphorylation	-0.7747	-0.3162	1	1641	9789	711	2008.0506
996	hypertension	0.3887	-0.2847	2	341	574	43	2009.9302
997	hypometabolism	0.9589	0.106	2	523	1257	64	2010.9219
998	hypoperfusion	0.4273	0.0324	2	324	479	32	2009.0938
999	hypothalamus	-0.1116	0.3328	3	221	329	25	2003.88
1000	hypothermia	-0.6105	-0.4676	1	170	267	19	2010.4737
1001	ibm	-0.2447	0.1152	3	117	235	18	2003.7222
1002	icv	-0.5025	-0.5285	1	222	374	27	2012.3704
1003	ide	-0.4661	-0.5246	1	135	166	11	2010.8182
1004	identifier	0.6496	-0.5335	2	138	242	11	2012.9091
1005	identity	-0.7168	0.294	4	191	240	18	2004.7222
1006	idiopathic normal pressure hydrocephalus	1.1416	-0.4399	2	95	162	10	2012.5
1007	igf	-0.4542	-0.5507	1	220	385	30	2009.2333
1008	il 1beta	-0.3108	-0.3809	1	125	141	11	2008.7273
1009	image	0.727	0.1674	2	499	1031	61	2009.3607
1010	image analysis	0.3304	0.3409	3	225	291	21	2005.5714
1011	imaging	0.6136	-0.0088	2	899	2687	171	2011.4386
1012	immunoblot	-0.6856	0.5271	4	501	1106	72	1999.2222
1013	immunoblot analysis	-0.6711	0.4508	4	410	691	41	2001.5366
1014	immunoblotting	-0.7262	0.435	4	240	352	26	2001.4231
1015	immunocytochemical study	-0.4609	0.478	3	154	207	17	1995.4118
1016	immunocytochemistry	-0.3213	0.3458	3	516	1035	77	1999.3247
1017	immunodetection	-0.1665	0.5776	3	124	184	14	1994.5714
1018	immunoelectron microscopy	-0.4423	0.4945	3	207	339	27	1999.2593
1019	immunofluorescence	-0.5771	0.3536	4	312	466	34	2004.7941
1020	immunohistochemical analysis	-0.401	0.1634	3	365	583	46	2007.913
1021	immunohistochemical staining	-0.2666	0.1587	3	286	388	27	2004.8148
1022	immunohistochemical study	-0.2514	0.4664	3	418	726	52	2001.3077
1023	immunolabeling	-0.4646	0.4209	3	305	548	40	2000.75
1024	immunological approach	0.0064	-0.3629	1	71	123	11	2008.6364
1025	immunoreactivity	-0.4294	0.3602	3	1242	5780	418	2001.4809
1026	immunosorbent assay	0.9642	-0.2945	2	616	1671	94	2006.9681
1027	immunostaining	-0.3268	0.401	3	505	912	69	2002.4348
1028	immunotherapy	0.0173	-0.36	1	433	938	86	2010.4186
1029	impaired insulin	-0.4525	-0.5748	1	116	178	11	2012
1030	implementation	0.3335	-0.3565	1	249	369	19	2011.6316
1031	important component	-0.3075	-0.1786	1	103	114	11	2006.9091
1032	inactivation	-0.8059	-0.2473	1	306	483	32	2007.8125
1033	inactive form	-0.862	-0.3372	1	143	184	10	2008.1
1034	incipient	1.3289	-0.1983	2	180	272	11	2009.4545
1035	incipient ad	1.1236	-0.3901	2	226	466	21	2005.6667
1036	inclusion	-0.0852	0.423	3	1068	3235	213	2006.6667
1037	inclusion body myositis	-0.2433	0.1147	3	80	121	12	2002.5
1038	increased phosphorylation	-0.7614	-0.4355	1	127	161	10	2008.9
1039	increased production	-0.3881	-0.1013	1	130	145	11	2006.7273
1040	incubation	-0.9922	0.1255	4	421	797	54	2003
1041	independent cohort	1.2254	0.0103	2	191	302	14	2012.5714
1042	index	0.9749	-0.0513	2	616	1392	85	2009.7176
1043	individual	0.6475	0.085	2	1656	8567	541	2008.353
1044	individual neuron	-0.3733	0.354	3	137	159	10	2003.7
1045	individual patient	0.9386	-0.1216	2	162	208	12	2011.25
1046	inducer	-0.821	0.1127	4	254	418	33	2008.9394
1047	induction	-0.5907	-0.1604	1	804	1676	145	2008.1862
1048	inferior temporal cortex	0.2066	0.3178	3	166	194	13	2007.1538
1049	inflammatory marker	-0.2537	-0.4769	1	184	236	20	2010.7
1050	inflammatory mediator	-0.3044	-0.4095	1	164	203	19	2011.8421
1051	inflammatory reaction	-0.2707	-0.3883	1	180	217	18	2007.4444
1052	influx	-0.5025	-0.3221	1	226	291	25	2007.76
1053	information	0.6019	-0.0812	2	976	2830	187	2009.5401
1054	inhibition	-0.669	-0.32	1	1362	5974	428	2009.3808
1055	inhibitory activity	-0.5712	-0.4977	1	144	234	17	2010.7647
1056	inhibitory effect	-0.8344	-0.1691	1	191	249	18	2010.7778
1057	initial stage	-0.7003	-0.0651	1	121	135	11	2005.6364
1058	innogenetics	1.3565	-0.3637	2	185	358	15	2008.3333
1059	innotest	1.4214	-0.3119	2	197	383	16	2011.4375
1060	insoluble aggregate	-0.8334	0.1223	4	169	233	21	2009.4286
1061	insoluble tau aggregate	-0.697	0.2204	4	99	116	10	2011.4
1062	insulin	-0.4583	-0.5585	1	663	1690	121	2010.0826
1063	insulin degrading enzyme	-0.4654	-0.5213	1	189	266	17	2011.0588
1064	insulin receptor	-0.4705	-0.5474	1	166	295	24	2008.8333
1065	insulin resistance	-0.4278	-0.569	1	387	832	66	2011.8333
1066	insulin signaling	-0.4654	-0.5719	1	274	592	43	2012.3256
1067	insult	-0.5981	-0.3014	1	445	720	63	2008.0159
1068	integral component	-0.7005	0.4171	4	125	176	13	1998.6154
1069	integration	0.7724	-0.0726	2	174	307	14	2010.5714
1070	interacting protein	-0.7328	-0.0202	4	216	305	27	2010.037
1071	intermediate	-0.7476	0.1397	4	238	314	29	2010.4483
1072	interpretation	0.8277	0.1163	2	830	1879	104	2010.0288
1073	interval	0.7517	-0.1055	2	484	912	49	2007.2857
1074	intracellular abeta	-0.44	-0.3074	1	174	233	19	2010.5263
1075	intracellular aggregate	-0.7749	0.0186	4	118	128	12	2010.0833
1076	intracellular inclusion	-0.5805	0.1794	4	162	194	19	2009.5789
1077	intracellular tangle	-0.5514	0.2734	3	175	237	17	2003.8824
1078	intracellular tau	-0.6685	0.098	4	80	92	11	2011.5455
1079	intracellular transport	-0.7639	-0.0124	4	137	167	13	2004.3846
1080	intracerebroventricular injection	-0.5145	-0.5435	1	115	166	11	2012.1818
1081	intraneuronal abeta	-0.4412	-0.3129	1	183	241	19	2008.4211
1082	intraneuronal inclusion	0.0215	0.4828	3	178	233	16	2003.9375
1083	intraperitoneal injection	-0.6219	-0.5409	1	172	241	17	2011.5882
1084	intravenous immunoglobulin	-0.1891	-0.3858	1	100	134	11	2013.6364
1085	intron	0.6822	0.5756	3	223	492	31	2005.2903
1086	investigator	0.5978	-0.1211	2	264	473	30	2006.3333
1087	ion	-0.7693	0.2636	4	192	246	22	2007.9091
1088	isocortex	-0.1598	0.3891	3	179	225	19	2000.7895
1089	isoflurane	-0.2239	-0.5206	1	83	118	10	2012
1090	isomerization	-1.0035	0.0308	4	196	371	21	2007.5238
1091	isoprostane	0.9339	-0.429	2	262	491	28	2007.6429
1092	ivig	-0.1892	-0.3859	1	100	134	11	2013.6364
1093	j biol	-0.7529	0.1039	4	145	199	13	2000.6154
1094	january	1.321	-0.0604	2	329	634	23	2011.1304
1095	japan	0.4541	0.2043	3	226	299	19	2005.1053
1096	jnk	-0.7716	-0.3464	1	507	1102	64	2008.2656
1097	kda	-0.7088	0.4962	4	630	1500	92	2000.6522
1098	kda band	-0.5653	0.6004	3	162	224	13	2001.7692
1099	kda fragment	-0.8685	0.4504	4	137	202	12	1999.5833
1100	kda protein	-1.0631	0.3432	4	106	157	12	1993
1101	key enzyme	-0.6403	-0.3233	1	213	268	18	2006.2778
1102	key regulator	-0.7017	-0.165	1	140	166	12	2007.5833
1103	key target	-0.5647	-0.497	1	94	107	11	2010.7273
1104	kinase	-0.9063	-0.1577	1	1356	7214	462	2006.0779
1105	kinase activity	-0.9407	-0.1558	4	446	970	62	2005.1129
1106	kind	-0.5143	0.0551	1	257	339	30	2005.5333
1107	kinesin	-0.7493	-0.0384	1	180	253	20	2007.1
1108	kinetic	-0.8689	0.2473	4	324	554	37	2008.2973
1109	knockdown	-0.7475	-0.2392	1	321	539	43	2012.186
1110	labeling	-0.4516	0.2845	3	604	1268	83	2004.8795
1111	language	0.5735	0.2526	3	333	547	35	2010.2571
1112	late onset ad	0.7057	0.4159	2	389	653	45	2008.8
1113	late onset alzheimer	0.7068	0.457	2	513	1047	81	2008.0123
1114	late onset alzheimer disease	0.7954	0.4579	2	128	157	12	2007.75
1115	late onset dementia	0.124	0.5363	3	151	210	15	2005.2
1116	layer	-0.1792	0.3909	3	523	1004	77	2002.8442
1117	lbd	0.3287	0.3868	3	276	432	24	2008.8333
1118	lbs	0.1422	0.4332	3	224	357	23	2003.8261
1119	learning	-0.4462	-0.4578	1	707	1567	131	2010.8244
1120	leptin	-0.5206	-0.508	1	124	179	16	2011.3125
1121	levels	0.6685	-0.3634	2	655	1483	89	2008.4944
1122	lewy body	0.3101	0.4001	3	1042	3986	251	2006.8048
1123	lewy body dementia	0.7337	0.024	2	356	676	39	2007.1282
1124	lewy body disease	0.2868	0.3949	3	409	728	44	2008.1136
1125	lewy body pathology	0.3021	0.4197	3	178	228	16	2007.625
1126	lewy body variant	0.2804	0.4274	3	111	151	10	2001.7
1127	lewy neurite	0.0915	0.4944	3	124	164	12	2006.5833
1128	licl	-0.9682	-0.3842	1	115	168	11	2006.2727
1129	likelihood	0.8305	0.1796	2	291	428	26	2011.7308
1130	limbic area	0.0792	0.4479	3	153	185	13	2003.3846
1131	limbic system	0.1506	0.4101	3	175	215	16	2005.5
1132	limit	0.4145	-0.1449	2	224	337	22	2009.6818
1133	linear mixed model	1.3892	0.0151	2	159	264	11	2012.9091
1134	linear regression	1.2844	0.184	2	283	517	22	2010.8182
1135	linear regression analysis	0.9428	0.2649	2	293	459	24	2007.0417
1136	lipid raft	-0.4649	-0.0648	1	152	174	16	2011.1875
1137	lipopolysaccharide	-0.3298	-0.4181	1	126	159	12	2011.0833
1138	lipoxygenase	-0.4494	-0.3851	1	102	153	15	2012.6667
1139	lithium	-0.5874	-0.5237	1	315	622	49	2007.4286
1140	lithium treatment	-0.2856	-0.6056	1	135	201	13	2010.2308
1141	localization	-0.5528	0.2221	3	732	1714	134	2004.1866
1142	localize	-0.6823	-0.0261	1	163	194	15	2009.2667
1143	loci	0.7913	0.3834	2	355	774	43	2009.4651
1144	locus	0.6354	0.5021	3	372	610	38	2007.0526
1145	locus ceruleus	0.0962	0.514	3	97	119	10	2002.6
1146	locus coeruleus	-0.0399	0.3745	3	227	325	28	2008.8929
1147	logistic regression	1.0644	0.3571	2	302	558	26	2011.6923
1148	logistic regression analysis	1.4512	-0.1315	2	225	394	18	2009.6111
1149	long term potentiation	-0.4869	-0.2984	1	392	698	59	2011.2542
1150	long term treatment	-0.2949	-0.5067	1	154	190	15	2011.0667
1151	longevity	-0.5268	-0.3834	1	129	152	16	2011.0625
1152	longitudinal change	1.3798	-0.0051	2	203	379	18	2012.2222
1153	longitudinal study	1.1773	-0.0524	2	555	1472	69	2009.6812
1154	low abeta42	1.3681	-0.2001	2	158	268	13	2010.4615
1155	low csf	1.4627	-0.1379	2	142	241	11	2007.7273
1156	low dose	-0.5234	-0.5226	1	114	133	12	2012.3333
1157	lower abeta	1.4743	-0.0118	2	118	204	10	2009.8
1158	lower csf	1.3044	-0.0393	2	178	276	12	2011.5
1159	lower csf abeta	1.419	0.1254	2	183	350	14	2011.1429
1160	lower level	0.5632	-0.1518	2	454	882	55	2010.9455
1161	lps	-0.332	-0.417	1	122	154	12	2010.8333
1162	lrp1	0.146	-0.2801	1	143	219	14	2009.5
1163	lrrk2	0.0246	0.3732	3	113	142	10	2010.5
1164	ltp	-0.5097	-0.2828	1	221	338	31	2010.8065
1165	lumbar puncture	1.3762	-0.0792	2	594	2006	93	2010.828
1166	lysine residue	-0.7628	0.3582	4	126	164	11	2004.6364
1167	lysosome	-0.56	-0.0338	1	219	318	30	2008.4
1168	m146l	-0.4761	-0.2075	1	80	103	10	2005.6
1169	m146v	-0.373	-0.3669	1	182	268	19	2008.8421
1170	mab	-0.7255	0.5108	4	355	716	45	1998.6
1171	magnetic resonance	0.5535	0.3495	4	299	458	25	2008.12
1172	magnetic resonance imaging	1.0452	0.0759	2	739	2506	120	2010.1833
1173	main component	-0.668	0.0806	4	374	606	55	2003.8364
1174	main outcome	1.344	0.008	2	317	724	25	2014.4
1175	main outcome measures	1.2122	0.0287	2	488	1270	52	2008.0962
1176	main risk factor	-0.4141	-0.5681	1	83	98	11	2011
1177	major depression	1.1704	-0.4273	2	114	198	12	2004.25
1178	major feature	-0.3656	-0.2866	1	89	102	10	2005.9
1179	major kinase	-0.7734	-0.3895	1	145	217	13	2009.3846
1180	major pathological hallmark	-0.7722	-0.1471	1	226	296	26	2009.1154
1181	major protein subunit	-1.1592	0.2455	4	161	367	18	1998.7222
1182	male	0.305	-0.0205	3	476	875	57	2009.2105
1183	malondialdehyde	-0.6875	-0.3721	1	189	284	18	2009.8889
1184	mammal	-0.5686	-0.1195	1	140	169	16	2011.0625
1185	mammalian brain	-0.8826	0.2008	4	188	254	17	2001.6471
1186	mammalian cell	-0.7302	0.0007	4	162	212	15	2005.4667
1187	mammalian target	-0.5267	-0.14	1	160	254	18	2012.1667
1188	man	0.593	0.0667	2	563	994	63	2008
1189	management	0.3316	-0.225	1	510	873	61	2011.1967
1190	map	-0.7996	0.332	4	860	2329	138	2002.7029
1191	map kinase	-1.1087	-0.0251	4	287	609	34	2000.0588
1192	map1	-1.1507	0.2186	4	138	355	16	2000.3125
1193	map2	-1.05	0.1954	4	428	1088	63	2002.0635
1194	mapk	-0.8763	-0.237	1	406	894	52	2005.1731
1195	mapks	-0.844	-0.2181	1	162	248	15	2005.1333
1196	mapt	0.5181	0.5001	3	591	1568	100	2010.96
1197	mapt gene	0.6615	0.5404	3	141	222	14	2011.5
1198	mapt locus	0.7808	0.5529	2	86	148	11	2009.1818
1199	mapt mutation	0.4197	0.5195	3	197	304	16	2010.3125
1200	march	1.3683	-0.1078	2	144	191	11	2012.4545
1201	mark	-0.9078	-0.0881	4	245	398	28	2008.3929
1202	mark2	-0.9154	-0.0853	4	121	218	13	2009.0769
1203	mass	-0.7544	0.3875	4	369	664	45	2000.6222
1204	maturation	-0.6495	0.1022	1	228	339	25	2004.76
1205	mature neuron	-0.81	-0.0787	1	167	218	15	2008.8
1206	mc1	-0.7941	0.1488	4	163	214	12	2009.3333
1207	mci	1.2554	-0.1574	2	1074	8142	395	2010.5696
1208	mci ad	1.5005	-0.18	2	239	525	23	2011.2174
1209	mci case	1.0655	-0.3454	2	141	226	10	2009.5
1210	mci group	1.2624	-0.1266	2	270	529	24	2009.9583
1211	mci patient	1.3689	-0.1672	2	527	2140	93	2010.6344
1212	mci subject	1.3036	-0.1956	2	314	683	31	2010.1613
1213	mean	0.8556	-0.1653	2	735	1779	102	2009.0686
1214	mean age	0.9608	0.1485	2	509	996	51	2007.6078
1215	mean level	1.3212	-0.2786	2	190	296	13	2005.6923
1216	measure	1.1136	-0.0085	2	1090	6008	297	2009.8788
1217	measurement	0.9932	-0.1961	2	1084	4843	255	2008.6196
1218	medial temporal lobe	0.682	0.3267	3	421	772	45	2010.2222
1219	medial temporal lobe atrophy	1.468	0.0439	2	214	410	17	2009.5294
1220	median	1.2516	-0.0502	2	292	520	24	2010
1221	medication	0.2874	-0.3388	1	339	554	40	2010.05
1222	melatonin	-0.6603	-0.4481	1	176	292	24	2009.5833
1223	memantine	-0.0077	-0.3936	1	449	836	59	2009.6949
1224	memory ability	-0.5538	-0.5254	1	146	210	15	2012.0667
1225	memory clinic	1.3892	-0.1063	2	483	1597	67	2011.3134
1226	memory complaint	1.1272	-0.0702	2	107	133	10	2010
1227	memory disturbance	0.2131	0.1737	3	209	253	14	2008.2143
1228	memory formation	-0.5255	-0.364	1	229	296	24	2011.5
1229	memory performance	0.4393	-0.2411	2	375	593	37	2011.1892
1230	memory test	0.3355	-0.312	1	176	246	14	2009.8571
1231	meta analysis	1.0639	0.2864	2	331	686	38	2011.1579
1232	metabolic syndrome	-0.3742	-0.5676	1	175	255	16	2012.625
1233	metal ion	-0.7511	0.1976	4	161	208	19	2007.2105
1234	methodology	0.4434	-0.1896	2	345	529	37	2008.9459
1235	methyl	0.6985	-0.0858	2	220	332	18	2011.0556
1236	meynert	-0.0923	0.35	3	261	369	27	2002.8889
1237	mg day	0.4362	-0.54	1	96	166	10	2007.6
1238	mg kg	-0.4957	-0.5158	1	336	631	44	2012.2955
1239	mice	-0.4515	-0.4089	1	361	519	42	2011.1429
1240	microgliosis	-0.3546	-0.3351	1	186	262	22	2011.3182
1241	microm	-1.028	-0.0306	4	352	592	38	2004.3421
1242	microtubule	-0.8524	0.1723	4	1668	12720	906	2003.7097
1243	microtubule affinity regulating kinase	-0.92	-0.0841	4	147	245	15	2008.1333
1244	microtubule assembly	-1.0309	0.1997	4	522	1383	85	2002.6353
1245	microtubule associated protein	-0.8903	0.1628	4	623	1621	106	2002.1604
1246	microtubule associated protein tau	-1.0319	0.3203	4	376	749	47	2000.383
1247	microtubule binding	-0.9877	0.2153	4	399	840	50	2003.54
1248	microtubule binding domain	-0.9153	0.3231	4	340	745	51	2002.6078
1249	microtubule binding protein	-0.7549	0.0357	1	184	233	20	2005.45
1250	microtubule binding protein tau	-0.7929	0.0307	4	110	124	12	2010.25
1251	microtubule binding region	-0.9851	0.4042	4	174	278	17	1999.7059
1252	microtubule binding repeat	-0.7186	0.3521	4	252	412	26	2005.7308
1253	microtubule destabilization	-0.8581	-0.1088	1	113	138	10	2011.2
1254	microtubule dynamic	-0.8989	-0.0034	4	187	281	22	2008.0909
1255	microtubule interaction	-0.9702	0.1926	4	181	302	17	2003.8824
1256	microtubule network	-0.9509	0.0289	4	275	496	31	2004.2581
1257	microtubule polymerization	-0.8737	0.0161	4	116	158	14	2010.6429
1258	microtubule stability	-0.8198	-0.0525	1	210	298	24	2008.875
1259	microtubule stabilization	-0.9445	0.1173	4	140	173	12	2009.8333
1260	middle	0.7695	0.0412	2	303	453	26	2009.7308
