id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. cit. impact>	score<Perc. JASIST>	score<Perc. JOI>	score<Perc. Scientometrics>	score<Perc. USA>	score<Perc. China>	score<Perc. Belgium>	score<Perc. Netherlands>	score<Perc. OA free to read>	score<Perc. OA green>	score<Perc. OA hybrid>
347	formulae	-0.1024	0.6669	2	72	102	14	2011.1429	1.0184	0.2857	0.3571	0.3571	0.1429	0.1429	0.6429	0	0.0714	0.0714	0
348	formulation	0.6405	-0.0363	1	238	371	34	2012.4118	0.8528	0.6176	0.0882	0.2941	0.3235	0.0588	0.0882	0.0294	0.1471	0.1471	0
349	forum	1.1131	0.1178	1	145	264	23	2012.4348	1.4871	0.913	0.0435	0.0435	0.5652	0.0435	0	0.0435	0.2609	0.2609	0
350	fraction	-0.1614	0.4314	2	286	440	49	2011.6327	1.3409	0.2449	0.2041	0.551	0.2653	0.0204	0.2041	0.102	0.4898	0.3673	0.1224
351	fractional counting	-0.5694	0.7023	2	122	181	21	2012.8095	2.2659	0.381	0.2857	0.3333	0	0.1429	0.1429	0.619	0.6667	0.5714	0.0952
352	framework	0.6898	-0.1021	1	713	2378	270	2012.363	0.8185	0.6222	0.0963	0.2815	0.3222	0.1444	0.0593	0.063	0.3	0.2481	0.0519
353	france	-1.2113	-0.2202	3	239	531	35	2012.3143	0.8824	0.1429	0.1429	0.7143	0.1143	0.2286	0.0286	0.0857	0.1429	0.1143	0.0286
354	friend	0.8932	0.3213	1	93	134	15	2012	1.1387	0.8667	0	0.1333	0.3333	0.0667	0	0	0.1333	0.1333	0
355	full text article	0.3008	-0.3756	4	117	144	14	2012.9286	1.1045	0.5	0.1429	0.3571	0.2143	0.1429	0	0	0.1429	0.1429	0
356	functionality	1.1009	-0.0661	1	169	254	24	2011.4167	1.4868	0.75	0.0833	0.1667	0.5	0.0417	0	0.0417	0.3333	0.25	0.0833
357	funding decision	-0.3782	0.2192	2	99	128	13	2011.7692	1.5296	0.0769	0.3846	0.5385	0.1538	0	0	0.0769	0.2308	0.2308	0
358	further analysis	-0.3805	-0.6975	3	106	123	11	2011.5455	0.6852	0.2727	0.1818	0.5455	0.1818	0.1818	0	0	0	0	0
359	future research direction	1.0415	-0.0241	1	107	141	16	2012	0.7117	0.5625	0	0.4375	0.375	0.25	0	0.0625	0.1875	0.1875	0
360	future work	0.8594	-0.2312	1	134	189	18	2011.9444	1.4879	0.7778	0.0556	0.1667	0.6111	0	0	0	0.2778	0.2778	0
361	g index	-0.1307	0.6763	2	186	413	55	2011	1.1568	0.3273	0.4364	0.2364	0.0727	0.1273	0.3091	0.0545	0.1818	0.1818	0
362	garfield	-0.4266	0.6364	2	117	166	20	2010.65	2.2129	0.1	0.35	0.55	0.3	0.15	0	0.15	0.25	0.25	0
363	gdp	-0.6627	-0.5312	3	169	285	22	2011.4545	1.0489	0.0455	0.2273	0.7273	0.0455	0.2727	0.0455	0.0455	0.2273	0.2273	0
364	gender difference	-0.135	0.0325	2	141	221	25	2012.76	1.7428	0.24	0.2	0.56	0.16	0.12	0	0.08	0.12	0.08	0.04
365	general framework	1.0409	-0.09	1	72	82	10	2011.9	0.8469	0.6	0.2	0.2	0.5	0.2	0.3	0	0.5	0.5	0
366	generalization	-0.1606	0.7182	2	113	161	20	2011.1	1.0796	0.3	0.3	0.4	0.25	0.1	0.2	0.15	0.45	0.4	0.05
367	genetic	-1.0523	-0.0165	3	119	163	13	2011.6923	0.8513	0.0769	0	0.9231	0.0769	0.0769	0.0769	0	0.0769	0.0769	0
368	genomic	0.1914	-0.507	4	117	137	11	2013	1.8	0.2727	0	0.7273	0.3636	0.0909	0	0	0.1818	0.0909	0.0909
369	genre	0.8639	-0.0915	1	183	291	30	2011.9	1.0178	0.7667	0.0333	0.2	0.5	0.1333	0	0.0333	0.2	0.2	0
370	geographical distance	-0.3528	-0.4545	4	91	107	12	2012.9167	0.5801	0.0833	0.1667	0.75	0.1667	0.25	0	0.1667	0.25	0.1667	0.0833
371	geographical distribution	-1.0355	-0.5643	3	90	123	11	2011.4545	0.7838	0.0909	0	0.9091	0.0909	0.0909	0	0	0.0909	0.0909	0
372	geography	-0.7402	-0.3868	3	165	223	22	2013.5	0.9494	0.2273	0.0909	0.6818	0.0455	0.2727	0	0.2273	0.3636	0.2727	0.0909
373	german	-0.5414	-0.0509	2	126	157	15	2011.6667	0.7957	0.2	0	0.8	0.0667	0.2	0.1333	0.0667	0.4	0.4	0
374	germany	-1.1883	-0.1951	3	364	955	65	2012.0615	0.9176	0.0923	0.0769	0.8308	0.0462	0.2923	0.0308	0.0615	0.2462	0.2	0.0462
375	glanzel	-0.0929	0.6725	2	100	139	17	2011.9412	1.3159	0.1176	0.2353	0.6471	0.1176	0.1176	0.3529	0.1176	0.1765	0.1765	0
376	global level	-0.448	-0.1611	3	85	98	10	2012.7	1.9251	0.2	0.2	0.6	0.3	0	0	0.3	0.3	0.3	0
377	global map	-0.2333	-0.1198	2	94	118	13	2012.5385	3.7829	0.5385	0.1538	0.3077	0.3846	0.0769	0.1538	0.5385	0.7692	0.6923	0.0769
378	global trend	-1.1205	-0.5644	3	141	255	18	2013.2222	0.9507	0.1111	0.0556	0.8333	0.1111	0.5556	0	0.1667	0.1667	0.1667	0
379	globalization	-0.693	-0.4865	3	115	149	14	2011.8571	1.2903	0.3571	0.1429	0.5	0.2857	0.1429	0	0.1429	0.2857	0.2857	0
380	gold standard	1.0028	-0.3596	1	70	87	11	2012.4545	0.5552	0.7273	0.0909	0.1818	0.4545	0.0909	0	0	0.2727	0.2727	0
381	google	1.1575	0.0627	1	224	406	38	2011.3421	1.2547	0.6316	0.0526	0.3158	0.3947	0.0789	0	0.0263	0.2895	0.2632	0.0263
382	google scholar	-0.4985	0.5389	2	329	716	76	2012.0395	3.1426	0.2237	0.1974	0.5789	0.1184	0.0789	0	0.0658	0.4079	0.3947	0.0132
383	government	-0.3832	-0.639	3	498	1142	108	2012.3241	1.0216	0.2407	0.0556	0.7037	0.1944	0.1759	0.037	0.0463	0.1389	0.1389	0
384	grade	0.4222	0.2312	1	114	152	17	2012.6471	0.9024	0.5294	0.1765	0.2941	0.1176	0.1765	0.0588	0	0.2353	0.2353	0
385	graduate student	0.9118	0.4061	1	80	104	11	2011.6364	0.8295	0.5455	0	0.4545	0.2727	0	0	0	0.0909	0.0909	0
386	granularity	0.9187	-0.388	1	135	182	17	2012	0.4432	0.7059	0	0.2941	0.3529	0.1765	0	0.0588	0.3529	0.2941	0.0588
387	graphene	-0.0427	-0.3902	4	78	96	10	2013.7	1.1247	0.1	0.1	0.8	0.1	0.2	0	0.2	0.2	0.2	0
388	greater impact	0.4661	0.665	1	67	81	11	2011.9091	0.8505	0.4545	0	0.5455	0.1818	0.2727	0	0	0.2727	0.2727	0
389	growth	-0.7046	-0.3598	3	760	2799	267	2012.3933	1.209	0.1835	0.1199	0.6966	0.2022	0.1461	0.015	0.0524	0.2397	0.2097	0.03
390	growth rate	-0.9556	-0.2363	3	298	583	50	2012.52	1.492	0.12	0.08	0.8	0.18	0.2	0.04	0.02	0.18	0.16	0.02
391	guideline	0.6149	0.184	1	272	410	44	2012.7727	0.8843	0.5227	0.0682	0.4091	0.2955	0.0455	0	0.0227	0.1591	0.1364	0.0227
392	h core	-0.2975	0.6551	2	97	160	21	2011.0952	1.1342	0.2857	0.4286	0.2857	0	0.381	0.2857	0.0476	0.2857	0.2857	0
393	h index	-0.2194	0.628	2	684	2679	359	2011.6128	1.3078	0.2089	0.2646	0.5265	0.0947	0.1476	0.1616	0.039	0.2284	0.2228	0.0056
394	h type index	-0.117	0.6677	2	87	128	23	2011.087	0.7166	0.2609	0.3913	0.3478	0.0435	0.2609	0.5652	0	0.1304	0.1304	0
395	half life	-0.4571	0.6667	2	87	109	14	2011.3571	0.629	0.0714	0.0714	0.8571	0	0.2143	0	0	0.2857	0.2857	0
396	hard science	-0.3122	0.2327	2	168	357	38	2012.2632	1.2602	0.1316	0.4211	0.4474	0.0263	0	0	0.0526	0.0526	0.0526	0
397	health information	1.0756	0.274	1	154	269	23	2011.3478	0.8371	0.9565	0	0.0435	0.7391	0.087	0	0.0435	0.2174	0.1739	0.0435
398	health science	-0.2794	-0.0622	3	146	204	19	2012.5789	1.9544	0.2632	0.0526	0.6842	0.1579	0.0526	0	0	0.2632	0.2105	0.0526
399	hierarchical structure	0.7618	-0.2677	1	71	85	12	2010.8333	0.2835	0.8333	0	0.1667	0.5	0.3333	0	0	0.25	0.25	0
400	high correlation	-0.4341	0.4172	2	152	205	18	2012.3889	1.7218	0.2222	0.1667	0.6111	0.0556	0.1111	0.0556	0.0556	0.5	0.5	0
401	high impact	-0.508	0.5071	2	93	115	15	2013.1333	1.3168	0.2667	0.3333	0.4	0.1333	0	0	0	0.3333	0.3333	0
402	high impact journal	-0.6069	0.6335	2	194	267	26	2012.6154	1.4339	0.1923	0.3077	0.5	0.1538	0.0769	0	0.0769	0.3846	0.3462	0.0385
403	high quality	0.214	0.1522	2	94	104	13	2013.2308	0.7778	0.3846	0.0769	0.5385	0.1538	0.3846	0.0769	0	0.3077	0.3077	0
404	higher education institution	-0.7613	-0.0538	3	131	192	22	2013.6818	0.6095	0.0455	0.1364	0.8182	0.0455	0.0455	0	0	0.1364	0.0909	0.0455
405	higher impact	-0.7276	0.4649	2	116	146	16	2013.0625	1.6688	0.375	0.0625	0.5625	0.0625	0	0	0.125	0.375	0.375	0
406	higher proportion	-0.7178	0.5569	2	118	153	12	2012.1667	1.0123	0.25	0.1667	0.5833	0.25	0.1667	0	0	0.3333	0.3333	0
407	higher rate	-0.6598	-0.5962	3	98	119	10	2012.9	1.4403	0.5	0.1	0.4	0.6	0.2	0.1	0.1	0.4	0.3	0.1
408	highest impact	-0.8981	0.0625	3	119	148	13	2013.5385	1.5237	0.2308	0	0.7692	0.1538	0.1538	0	0	0.3077	0.2308	0.0769
409	highest number	-1.1661	-0.0665	3	185	281	23	2012.3043	0.6076	0.1304	0	0.8696	0.0435	0.0435	0	0	0.087	0.087	0
410	hirsch	-0.159	0.6763	2	212	454	52	2010.5385	1.6829	0.25	0.2115	0.5385	0.0577	0.0769	0.0769	0.0192	0.2115	0.2115	0
411	hirsch index	-0.2097	0.7324	2	168	369	51	2010.1176	1.1529	0.2549	0.4314	0.3137	0.0196	0.0588	0.2353	0.0784	0.1765	0.1765	0
412	hirsch type index	-0.0885	0.6926	2	52	84	15	2010.2667	1.2055	0.0667	0.3333	0.6	0	0.2667	0.4	0	0.0667	0.0667	0
413	hit	1.2395	0.0334	1	99	141	14	2010.7143	0.7961	0.5	0.0714	0.4286	0.3571	0.0714	0	0.0714	0.0714	0.0714	0
414	hong kong	-1.027	-0.1979	3	121	171	14	2012.0714	1.0819	0.1429	0.0714	0.7857	0.2143	0.7143	0	0	0.2143	0.1429	0.0714
415	hot topic	-0.3783	-0.3135	3	134	178	13	2013.6923	0.5075	0.1538	0.0769	0.7692	0.2308	0.6154	0	0	0	0	0
416	human	0.9629	-0.3552	1	175	244	20	2013.15	0.3443	0.7	0	0.3	0.55	0.2	0	0	0.1	0.1	0
417	human computer interaction	1.0099	0.3332	1	90	116	14	2011.7143	1.1532	0.8571	0	0.1429	0.7143	0.0714	0	0	0.2857	0.2143	0.0714
418	humanities	-0.8213	0.3444	2	171	288	29	2012.8966	2.7892	0.2414	0.1379	0.6207	0.069	0.0345	0.1724	0.1724	0.2759	0.2414	0.0345
419	humanity	-0.6765	0.3312	2	435	993	109	2012.9083	1.9839	0.4128	0.1101	0.4771	0.1651	0.0826	0.0459	0.1009	0.3394	0.3211	0.0183
420	hungary	-1.0458	-0.1379	3	100	138	11	2011.7273	1.1483	0.1818	0	0.8182	0	0	0	0.1818	0.1818	0.1818	0
421	hybrid approach	0.3518	-0.4781	4	92	127	14	2012.2857	1.5636	0.5714	0.0714	0.3571	0.2857	0	0.1429	0	0.2857	0.2857	0
422	hybrid method	0.3651	-0.4865	4	73	92	10	2011.6	1.1321	0.3	0.2	0.5	0.3	0.5	0.2	0	0.2	0.2	0
423	hyperlink	0.8827	-0.1536	1	119	181	18	2011.4444	0.7365	0.6667	0	0.3333	0.3889	0.2222	0	0.0556	0.3333	0.3333	0
424	ict	0.9288	0.2868	1	103	132	12	2012.4167	0.565	0.75	0	0.25	0.4167	0.1667	0	0	0.1667	0.1667	0
425	ifs	-0.5843	0.7042	2	71	110	10	2011.8	2.4894	0.6	0	0.4	0.1	0.1	0	0.5	0.7	0.6	0.1
426	image	1.1353	-0.1321	1	293	737	68	2011.2794	0.4717	0.9265	0	0.0735	0.5735	0.1029	0.0294	0.0294	0.25	0.25	0
427	immediacy index	-0.4752	0.6649	2	112	153	14	2011.7857	0.8745	0.2857	0	0.7143	0	0.1429	0.0714	0.0714	0.2143	0.2143	0
428	impact factor	-0.5109	0.6661	2	621	2044	238	2011.6261	1.0853	0.2101	0.1513	0.6387	0.1303	0.1387	0.0924	0.0714	0.2563	0.2437	0.0126
429	impact indicator	-0.4725	0.6108	2	232	414	46	2013.3261	2.6137	0.1957	0.413	0.3913	0.1087	0.0217	0.0217	0.2391	0.5435	0.4783	0.0652
430	implementation	0.7021	-0.0638	1	349	609	61	2011.2787	1.1244	0.6721	0.082	0.2459	0.4098	0.1475	0.0164	0.0492	0.2623	0.2295	0.0328
431	implication	0.8151	0.1981	1	785	3071	315	2012.0286	1.1498	0.6317	0.0444	0.3238	0.4032	0.0952	0.0159	0.0635	0.2286	0.2032	0.0254
432	important aspect	0.4907	0.2839	1	76	93	14	2011.0714	0.9179	0.5714	0.1429	0.2857	0.2143	0.1429	0.1429	0	0	0	0
433	important issue	0.4838	-0.0799	1	125	145	16	2011.9375	1.0473	0.5625	0.125	0.3125	0.1875	0.125	0.0625	0	0.25	0.25	0
434	important source	0.363	0.3946	1	124	138	13	2014	1.7293	0.3846	0.0769	0.5385	0.1538	0.2308	0	0.0769	0.2308	0.1538	0.0769
435	incentive	0.1986	0.6008	2	200	301	32	2012	1.0529	0.2812	0.0312	0.6875	0.25	0.0938	0.0312	0.0312	0.3125	0.2812	0.0312
436	inconsistency	0.2542	0.3545	2	145	177	20	2011.95	1.702	0.55	0.05	0.4	0.15	0.1	0.1	0.05	0.35	0.35	0
437	independence	0.061	0.3526	2	118	140	20	2012.75	0.4966	0.35	0.15	0.5	0.2	0.1	0.05	0	0.2	0.15	0.05
438	independent variable	0.7856	0.5282	1	89	102	11	2010.7273	2.3198	0.7273	0.1818	0.0909	0.3636	0.1818	0	0.2727	0.1818	0.1818	0
439	index	-0.1843	0.4724	2	892	3811	470	2011.9426	1.0611	0.183	0.2234	0.5936	0.1277	0.1553	0.0766	0.0574	0.2128	0.1936	0.0191
440	indexing	0.8301	-0.3135	1	319	646	67	2011.403	0.8157	0.7463	0.0896	0.1642	0.4776	0.0896	0.0149	0.0299	0.3731	0.3284	0.0448
441	india	-1.0713	-0.3102	3	388	1054	85	2012.5765	0.789	0.0824	0.0118	0.9059	0.0588	0.1412	0.0118	0.0235	0.1294	0.1176	0.0118
442	individual article	-0.5762	0.4825	2	70	77	10	2012.3	3.39	0.5	0.3	0.2	0.3	0.1	0.2	0.1	0.3	0.3	0
443	individual author	-0.3089	0.6823	2	140	186	21	2012.0952	0.9562	0.2381	0.2381	0.5238	0.1905	0.0952	0.1429	0.1429	0.2857	0.1905	0.0952
444	individual journal	-0.5914	0.5587	2	90	111	12	2012.5	1.4952	0.3333	0.25	0.4167	0.1667	0.25	0.1667	0	0.1667	0.1667	0
445	individual level	-0.4415	0.0703	2	170	262	32	2012.4375	1.8277	0.2812	0.125	0.5938	0.1875	0.125	0	0.0938	0.4375	0.4062	0.0312
446	individual paper	-0.1617	0.5754	2	56	67	10	2012.9	0.9547	0.1	0.3	0.6	0.3	0.2	0	0	0.5	0.5	0
447	individual publication	-0.0885	0.5526	2	84	95	12	2011.6667	2.1775	0.4167	0.4167	0.1667	0.0833	0.0833	0	0.1667	0.5	0.4167	0.0833
448	individual researcher	-0.3897	0.2773	2	266	432	46	2012.1739	1.2682	0.2174	0.2391	0.5435	0.3043	0.1087	0.0217	0.2391	0.4783	0.4348	0.0435
449	individual scientist	-0.2588	0.2319	2	211	355	43	2011.1395	1.4694	0.2093	0.2093	0.5814	0.1163	0.0465	0.0698	0.1163	0.2791	0.2558	0.0233
450	industry	-0.2518	-0.7022	4	458	1280	134	2012.1567	0.7456	0.1119	0.0597	0.8284	0.1418	0.1866	0.0373	0.097	0.1269	0.097	0.0299
451	inequality	-0.396	0.3524	2	226	324	34	2012.4412	1.1065	0.3235	0.2941	0.3824	0.2059	0.1471	0.1176	0.0294	0.2353	0.2059	0.0294
452	information	0.7185	-0.0302	1	1071	8876	958	2012.0407	0.8998	0.6326	0.071	0.2965	0.3434	0.1169	0.0261	0.0595	0.2599	0.2338	0.0261
453	information access	0.9925	-0.2613	1	100	117	13	2010.7692	0.4087	1	0	0	0.6154	0.0769	0	0.0769	0.4615	0.4615	0
454	information behavior	0.992	0.2931	1	230	504	52	2010.8846	0.8448	0.9615	0	0.0385	0.5	0.0192	0	0	0.2308	0.2115	0.0192
455	information literacy	0.8971	0.1137	1	121	175	16	2011.5	0.8292	0.6875	0	0.3125	0.4375	0	0	0	0.1875	0.1875	0
456	information need	1.2041	-0.2142	1	254	610	55	2011.9818	0.6599	0.9455	0.0182	0.0364	0.4909	0.0364	0	0	0.2545	0.2364	0.0182
457	information organization	1.0337	-0.1249	1	92	130	12	2011.3333	0.5609	1	0	0	0.9167	0.0833	0	0	0.0833	0	0.0833
458	information production process	-0.1078	0.665	2	39	65	12	2010.4167	0.5707	0.1667	0.5	0.3333	0	0	0.5	0	0.1667	0.1667	0
459	information quality	1.068	0.3503	1	126	192	20	2010.5	1.4469	0.95	0	0.05	0.45	0.1	0	0	0.3	0.3	0
460	information resource	0.919	-0.0743	1	143	208	21	2010.8571	0.5991	0.7619	0.0952	0.1429	0.4762	0.1429	0	0	0.2857	0.2857	0
461	information retrieval	1.0551	-0.3468	1	465	1481	166	2011.2831	0.8573	0.7952	0.0542	0.1506	0.3976	0.1506	0.0241	0.0301	0.2711	0.253	0.0181
462	information retrieval system	1.2679	-0.2619	1	163	339	31	2010.8387	0.5642	0.8387	0.0968	0.0645	0.4516	0.0645	0	0	0.1935	0.1935	0
463	information science journal	0.1215	0.3307	2	83	100	13	2011.4615	0.9683	0.5385	0.0769	0.3846	0.3077	0.0769	0.0769	0	0.1538	0.1538	0
464	information scientist	0.5112	0.3059	1	94	126	17	2009.7647	1.3019	0.9412	0	0.0588	0.3529	0	0	0	0.1176	0.1176	0
465	information search	1.3771	-0.0687	1	111	210	16	2011.9375	0.7496	1	0	0	0.6875	0.0625	0	0	0.375	0.375	0
466	information service	0.9268	0.1274	1	134	193	19	2011.5789	0.9993	0.9474	0	0.0526	0.3158	0.1053	0	0	0.4211	0.4211	0
467	information source	0.8318	0.0912	1	256	445	44	2011.5	0.8998	0.7045	0.0227	0.2727	0.2955	0.0455	0.0455	0.1818	0.25	0.2273	0.0227
468	information study	0.6028	0.5414	1	52	62	11	2010.7273	0.8485	0.9091	0	0.0909	0.7273	0	0	0	0.0909	0.0909	0
469	information system	0.7161	0.1146	1	457	967	97	2011.7423	0.7972	0.6907	0.0619	0.2474	0.4742	0.1031	0.0206	0.0309	0.1959	0.1753	0.0206
470	information technology	0.8461	0.1662	1	234	400	46	2010.9348	0.5097	0.913	0.0435	0.0435	0.5217	0.0217	0	0.0652	0.1304	0.087	0.0435
471	information theory	0.4388	-0.1053	1	62	96	12	2011.1667	0.8282	0.6667	0	0.3333	0	0.0833	0.0833	0.0833	0.4167	0.4167	0
472	information use	1.0018	0.2711	1	105	175	18	2011.2222	0.908	1	0	0	0.5	0.0556	0	0	0.1111	0.0556	0.0556
473	information visualization	0.7153	-0.4818	1	120	152	17	2011.4706	0.3673	0.5882	0	0.4118	0.5882	0.1765	0	0	0.2353	0.2353	0
474	informetric	0.0292	0.5097	2	170	287	43	2010.9767	0.9221	0.2326	0.3023	0.4651	0.1628	0.0698	0.2791	0.1163	0.2791	0.2093	0.0698
475	informetrics	-0.085	0.6145	2	158	235	33	2011.7273	1.0105	0.0909	0.5152	0.3939	0.2424	0.0606	0.2727	0.3333	0.2727	0.2424	0.0303
476	innovation system	-0.4305	-0.8115	4	173	366	34	2012.2353	0.8076	0.0294	0.1176	0.8529	0.0588	0.2059	0.0294	0.0588	0.1765	0.1471	0.0294
477	inquiry	0.7497	-0.0099	1	122	159	20	2012.75	0.6788	0.65	0.05	0.3	0.4	0.1	0	0	0.15	0.15	0
478	institute	-0.723	0.0295	3	644	1914	172	2011.7791	1.3602	0.186	0.1337	0.6802	0.1105	0.2558	0.064	0.093	0.25	0.2209	0.0291
479	institution	-0.7155	-0.1288	3	865	4087	386	2013.0466	1.1451	0.1425	0.0881	0.7694	0.1839	0.1865	0.0285	0.0466	0.2228	0.2021	0.0207
480	institutional level	-0.5711	-0.173	3	123	163	15	2012.8667	1.0979	0.2	0.1333	0.6667	0	0.2667	0.1333	0.1333	0.1333	0.1333	0
481	institutional repository	0.4826	0.086	1	83	115	15	2012.9333	1.1023	0.4667	0	0.5333	0.2667	0.0667	0	0	0.4	0.4	0
482	instruction	0.7871	0.28	1	174	273	24	2011.875	0.7788	0.8333	0	0.1667	0.4583	0.125	0	0.0833	0.25	0.2083	0.0417
483	integrated impact indicator	-0.3402	0.7002	2	65	81	10	2012.3	1.2102	0.4	0.2	0.4	0	0.2	0.1	0.7	0.6	0.5	0.1
484	intellectual property	0.547	0.3059	1	81	93	14	2011.6429	0.4047	0.6429	0.0714	0.2857	0.5	0.1429	0.0714	0	0.0714	0.0714	0
485	intellectual structure	0.2133	-0.4359	4	240	412	47	2012.2766	0.9959	0.1915	0.1489	0.6596	0.2128	0.383	0	0.0213	0.0638	0.0638	0
486	intention	0.9907	0.4017	1	210	420	39	2011.7179	0.9592	0.8462	0.0256	0.1282	0.4103	0.1795	0	0.0256	0.2821	0.2564	0.0256
487	inter	-0.9703	-0.4689	3	131	185	18	2011.3889	1.5764	0.0556	0.0556	0.8889	0.1111	0.1667	0.0556	0.0556	0.2778	0.2778	0
488	interaction	0.6397	-0.1237	1	642	1866	194	2011.8144	0.8449	0.6546	0.0412	0.3041	0.3814	0.1134	0.0309	0.0876	0.2165	0.2062	0.0103
489	interdisciplinary collaboration	-0.3244	-0.3451	3	76	91	10	2013.3	0.6363	0.5	0.2	0.3	0.3	0.2	0	0	0.3	0.1	0.2
490	interface	1.2172	-0.0746	1	323	806	74	2011.5	0.7154	0.7703	0.0811	0.1486	0.4189	0.0676	0.0135	0.0946	0.2027	0.2027	0
491	international co authorship	-1.1162	0.157	3	133	195	16	2011.9375	1.052	0	0.0625	0.9375	0.125	0.3125	0	0.0625	0.3125	0.25	0.0625
492	international collaboration	-0.9817	-0.4307	3	475	1686	136	2012.9926	1.3247	0.125	0.1029	0.7721	0.0662	0.25	0.0735	0.0588	0.2206	0.1838	0.0368
493	international collaborative paper	-1.1128	-0.4172	3	100	165	12	2013	0.5547	0.0833	0	0.9167	0	0.25	0	0	0	0	0
494	international comparison	-0.5713	0.075	2	77	95	11	2013	1.6684	0.1818	0.4545	0.3636	0.0909	0.0909	0	0.0909	0.6364	0.6364	0
495	international cooperation	-1.1301	-0.3792	3	115	161	12	2012.1667	2.2546	0	0	1	0.0833	0.3333	0.0833	0.0833	0.25	0.1667	0.0833
496	international journal	-1.0004	-0.2194	3	250	455	38	2011.1842	0.8373	0.0526	0.0263	0.9211	0	0.2895	0	0.1053	0.0789	0.0789	0
497	international level	-0.9319	-0.4309	3	95	126	11	2013.4545	0.9298	0.1818	0.2727	0.5455	0.0909	0.0909	0	0	0.1818	0.1818	0
498	international scientific collaboration	-1.0711	-0.384	3	134	232	18	2013.0556	1.1697	0.1111	0.0556	0.8333	0.1667	0.2778	0	0	0.2778	0.2222	0.0556
499	internationalization	-0.7808	-0.3566	3	231	378	35	2012.0571	0.9503	0.0571	0.0857	0.8571	0.1143	0.1429	0.0571	0.0857	0.1143	0.0857	0.0286
500	internet	0.7967	0.2335	1	474	1047	115	2011.0957	0.7999	0.687	0.0348	0.2783	0.3652	0.1217	0	0.087	0.2174	0.2	0.0174
501	interoperability	0.7725	-0.2362	1	112	147	15	2013.0667	0.5044	0.7333	0	0.2667	0.5333	0.0667	0.0667	0.1333	0.0667	0.0667	0
502	interrelationship	0.2835	-0.3355	4	78	82	10	2011.8	0.8806	0.5	0	0.5	0.3	0.2	0	0	0.2	0.1	0.1
503	intervention	0.7411	0.1571	1	177	244	24	2012.5417	0.5681	0.5833	0.125	0.2917	0.5	0.0417	0	0.0417	0.1667	0.1667	0
504	interview	0.9557	0.2328	1	355	932	89	2011.8202	0.8484	0.8202	0.0112	0.1685	0.4607	0.0337	0.0449	0.0337	0.1461	0.1236	0.0225
505	invention	-0.1751	-0.7874	4	196	347	38	2011.7632	1.118	0.0789	0.0263	0.8947	0.2105	0.0789	0.0526	0.1053	0.1842	0.1842	0
506	inventor	-0.2064	-0.7824	4	245	464	43	2011.907	1.2277	0.0465	0.1163	0.8372	0.1628	0.1163	0.0698	0.093	0.186	0.1628	0.0233
507	investment	-0.4627	-0.6695	4	296	547	52	2011.9808	0.8419	0.2692	0.0962	0.6346	0.25	0.1346	0	0.1154	0.2308	0.1923	0.0385
508	ipc	-0.2615	-0.8453	4	77	105	10	2012.6	1.6982	0.3	0.1	0.6	0.4	0.2	0	0.3	0.4	0.4	0
509	ir system	1.2495	-0.1602	1	100	172	14	2010.0714	0.7875	0.8571	0.0714	0.0714	0.4286	0	0	0	0.5	0.3571	0.1429
510	iran	-0.9531	-0.0805	3	143	215	17	2012.4118	0.7203	0.0588	0	0.9412	0	0	0	0	0.1176	0.1176	0
511	ireland	-1.0358	-0.1281	3	65	75	10	2009.8	0.81	0.3	0.1	0.6	0.3	0	0	0.4	0.3	0.2	0.1
512	isi	-0.7597	0.4133	2	316	635	54	2010.1667	1.7715	0.3148	0.0741	0.6111	0.1667	0.1296	0	0.1296	0.2963	0.2963	0
513	isi database	-0.6242	0.3139	2	99	125	12	2009.5	2.8075	0.3333	0	0.6667	0.0833	0.0833	0	0.1667	0.25	0.25	0
514	isi web	-0.7311	0.0822	3	281	445	44	2011.8864	1.1912	0.1136	0.0909	0.7955	0.0682	0.1136	0	0.0909	0.2727	0.2727	0
515	israel	-0.9977	-0.1273	3	155	202	17	2013.3529	0.7069	0.4706	0	0.5294	0	0.0588	0.0588	0.0588	0.1176	0.1176	0
516	italian university	-0.2826	0.2327	2	142	286	30	2013.1	1.1835	0.0333	0.4333	0.5333	0	0	0	0	0.0667	0.0667	0
517	italy	-1.1625	-0.1422	3	253	503	38	2012.4211	0.9674	0.1053	0.2105	0.6842	0.0526	0.1053	0	0.0526	0.1579	0.1316	0.0263
518	january	-1.0954	0.0976	3	117	172	16	2014.125	1.1581	0	0	1	0.25	0.4375	0	0.125	0.25	0.1875	0.0625
519	japan	-1.1611	-0.4668	3	367	1159	83	2012.1687	1.178	0.0361	0.0602	0.9036	0.012	0.3012	0.0241	0.0361	0.0964	0.0843	0.012
520	jasist	-0.018	0.4252	2	81	93	12	2010.3333	0.797	0.75	0.1667	0.0833	0.3333	0	0.0833	0.1667	0.25	0.25	0
521	jcr	-0.5529	0.6436	2	204	422	47	2011.5745	1.0654	0.234	0.1064	0.6596	0.2128	0.1064	0	0.1277	0.2128	0.1702	0.0426
522	jif	-0.4739	0.7108	2	173	318	39	2011.8462	1.403	0.0513	0.359	0.5897	0.0513	0.0769	0	0.0256	0.2564	0.2308	0.0256
